names,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
Rita Courtney,female,group B,some high school,standard,none,37.0,46.0,46.0
Madeline Fuller,female,group C,some high school,standard,none,124.0,142.0,142.0
Daniel Rester,male,group E,associate's degree,standard,none,156.0,196.0,193.0
Charles Linstrom,male,group A,bachelor's degree,standard,completed,80.0,78.0,81.0
Geraldine Hale,female,group A,associate's degree,standard,none,131.0,166.0,166.0
Brian Young,male,group C,some high school,standard,none,73.0,66.0,63.0
Howard Jimenez,male,group E,some high school,standard,completed,81.0,75.0,76.0
Wayne Wilson,male,group B,some high school,standard,completed,94.0,86.0,87.0
Jonathan Clingan,male,group D,some college,standard,completed,71.0,61.0,69.0
William Tang,male,group D,associate's degree,standard,none,75.0,68.0,64.0
Nancy Bassett,female,group C,high school,standard,none,124.0,196.0,193.0
Frankie Malan,male,group D,associate's degree,free/reduced,completed,188.0,131.0,193.0
Rita Courtney,female,group B,some high school,standard,none,193.0,193.0,193.0
Mikki Amaya,female,group A,high school,free/reduced,completed,34.0,48.0,41.0
Barbara Clerk,female,group D,some high school,standard,none,193.0,171.0,131.0
Gerald Wilson,male,group A,associate's degree,standard,none,63.0,61.0,61.0
Damon Mckee,male,group E,high school,standard,none,94.0,73.0,71.0
Sophia Bijou,female,group D,some high school,standard,completed,65.0,78.0,82.0
Paul Hyder,male,group D,master's degree,standard,none,95.0,142.0,147.0
Monica Schwartz,female,group B,associate's degree,free/reduced,none,52.0,76.0,70.0
Donald Upchurch,male,group C,associate's degree,standard,none,62.0,65.0,58.0
Donald Dunnings,male,group D,some high school,standard,none,74.0,74.0,72.0
Michelle Gonzales,female,group B,some high school,standard,completed,142.0,,193.0
Eric Brown,male,group C,associate's degree,free/reduced,completed,124.0,142.0,124.0
Joseph Mccoy,male,group D,some college,free/reduced,none,62.0,57.0,62.0
David Dupree,male,group B,high school,standard,completed,73.0,69.0,68.0
Samuel Dougal,male,group C,master's degree,free/reduced,completed,46.0,42.0,46.0
Richard Pina,male,group D,master's degree,standard,none,82.0,82.0,74.0
Darlene Parker,female,group C,associate's degree,standard,none,124.0,193.0,193.0
Dale Sylvain,male,group D,some college,free/reduced,none,63.0,61.0,60.0
Janine Taylor,female,group C,associate's degree,free/reduced,none,64.0,73.0,68.0
